"","N","J","G00","TAU0","G10","TAU1","G20","TAU2","G30","TAU3","RHO01","RHO02","RHO12","X1_mu","X2_mu","X3_mu","X1_sd","X2_sd","X3_sd","S","nchain","niter","burn","thin","SIG2","Y.fixed","Y.rand","Y.int","Y.e","varY"
"1",20,10,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0.84,0.08,0.04,0.04,0.84,1
"2",50,10,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0.84,0.08,0.04,0.04,0.84,1
"3",70,10,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0.84,0.08,0.04,0.04,0.84,1
"4",20,50,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0.84,0.08,0.04,0.04,0.84,1
"5",50,50,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0.84,0.08,0.04,0.04,0.84,1
"6",70,50,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0.84,0.08,0.04,0.04,0.84,1
"7",20,100,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0.84,0.08,0.04,0.04,0.84,1
"8",50,100,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0.84,0.08,0.04,0.04,0.84,1
"9",70,100,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0.84,0.08,0.04,0.04,0.84,1
"10",20,10,1,0.16,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0.72,0.08,0.04,0.16,0.72,1
